"Seade","Mõõtmise aeg","elektrijuhtivus","hägusus","hapnik","pH","Laekumise aeg"
"Muuli VKM","30.11.2023 21:35","864 μS/cm","139.53 NTU","10.41 mg/L","7.6","30.11.2023 21:37"
"Muuli VKM","30.11.2023 21:30","863 μS/cm","138.74 NTU","10.49 mg/L","7.6","30.11.2023 21:32"
"Muuli VKM","30.11.2023 21:25","862 μS/cm","138.06 NTU","10.54 mg/L","7.61","30.11.2023 21:27"
"Muuli VKM","30.11.2023 21:20","860 μS/cm","137.73 NTU","10.64 mg/L","7.6","30.11.2023 21:22"
"Muuli VKM","30.11.2023 21:15","858 μS/cm","138.37 NTU","10.66 mg/L","7.6","30.11.2023 21:17"
"Muuli VKM","30.11.2023 21:10","858 μS/cm","144.74 NTU","10.66 mg/L","7.6","30.11.2023 21:12"
"Muuli VKM","30.11.2023 21:05","859 μS/cm","153.52 NTU","10.67 mg/L","7.59","30.11.2023 21:07"
"Muuli VKM","30.11.2023 21:00","852 μS/cm","147.64 NTU","10.45 mg/L","7.57","30.11.2023 21:02"
"Muuli VKM","30.11.2023 20:55","852 μS/cm","147.84 NTU","10.47 mg/L","7.57","30.11.2023 20:57"
"Muuli VKM","30.11.2023 20:50","852 μS/cm","148.09 NTU","10.5 mg/L","7.57","30.11.2023 20:52"
"Muuli VKM","30.11.2023 20:45","852 μS/cm","148.29 NTU","10.49 mg/L","7.58","30.11.2023 20:47"
"Muuli VKM","30.11.2023 20:40","852 μS/cm","148.44 NTU","10.53 mg/L","7.58","30.11.2023 20:42"
"Muuli VKM","30.11.2023 20:35","851 μS/cm","148.43 NTU","10.53 mg/L","7.59","30.11.2023 20:37"
"Muuli VKM","30.11.2023 20:30","851 μS/cm","148.3 NTU","10.58 mg/L","7.59","30.11.2023 20:32"
"Muuli VKM","30.11.2023 20:25","851 μS/cm","148.22 NTU","10.57 mg/L","7.59","30.11.2023 20:27"
"Muuli VKM","30.11.2023 20:20","851 μS/cm","148.16 NTU","10.64 mg/L","7.6","30.11.2023 20:22"
"Muuli VKM","30.11.2023 20:15","850 μS/cm","147.8 NTU","10.66 mg/L","7.6","30.11.2023 20:17"
"Muuli VKM","30.11.2023 20:10","850 μS/cm","147.37 NTU","10.67 mg/L","7.6","30.11.2023 20:12"
"Muuli VKM","30.11.2023 20:05","850 μS/cm","147.34 NTU","10.7 mg/L","7.61","30.11.2023 20:07"
"Muuli VKM","30.11.2023 20:00","850 μS/cm","138.77 NTU","10.71 mg/L","7.61","30.11.2023 20:02"
"Muuli VKM","30.11.2023 19:55","851 μS/cm","131.5 NTU","10.79 mg/L","7.62","30.11.2023 19:57"
"Muuli VKM","30.11.2023 19:50","851 μS/cm","123.73 NTU","10.81 mg/L","7.62","30.11.2023 19:52"
"Muuli VKM","30.11.2023 19:45","852 μS/cm","116.04 NTU","10.84 mg/L","7.62","30.11.2023 19:47"
"Muuli VKM","30.11.2023 19:40","854 μS/cm","115.11 NTU","10.83 mg/L","7.63","30.11.2023 19:42"
"Muuli VKM","30.11.2023 19:35","855 μS/cm","114.26 NTU","10.92 mg/L","7.63","30.11.2023 19:37"
"Muuli VKM","30.11.2023 19:30","857 μS/cm","113.34 NTU","10.95 mg/L","7.64","30.11.2023 19:32"
"Muuli VKM","30.11.2023 19:25","858 μS/cm","112.51 NTU","11.03 mg/L","7.64","30.11.2023 19:27"
"Muuli VKM","30.11.2023 19:20","860 μS/cm","111.8 NTU","11.06 mg/L","7.64","30.11.2023 19:22"
"Muuli VKM","30.11.2023 19:15","860 μS/cm","110.67 NTU","11.07 mg/L","7.63","30.11.2023 19:17"
"Muuli VKM","30.11.2023 19:10","860 μS/cm","119.1 NTU","11 mg/L","7.61","30.11.2023 19:12"
"Muuli VKM","30.11.2023 19:05","861 μS/cm","126.13 NTU","11.02 mg/L","7.6","30.11.2023 19:07"
"Muuli VKM","30.11.2023 19:00","849 μS/cm","133.78 NTU","10.24 mg/L","7.58","30.11.2023 19:02"
"Muuli VKM","30.11.2023 18:55","850 μS/cm","141.48 NTU","10.25 mg/L","7.58","30.11.2023 18:57"
"Muuli VKM","30.11.2023 18:50","849 μS/cm","142.53 NTU","10.29 mg/L","7.58","30.11.2023 18:52"
"Muuli VKM","30.11.2023 18:45","849 μS/cm","143.44 NTU","10.32 mg/L","7.59","30.11.2023 18:47"
"Muuli VKM","30.11.2023 18:40","849 μS/cm","144.44 NTU","10.34 mg/L","7.59","30.11.2023 18:42"
"Muuli VKM","30.11.2023 18:35","849 μS/cm","145.26 NTU","10.37 mg/L","7.59","30.11.2023 18:37"
"Muuli VKM","30.11.2023 18:30","849 μS/cm","146.13 NTU","10.37 mg/L","7.59","30.11.2023 18:32"
"Muuli VKM","30.11.2023 18:25","849 μS/cm","146.89 NTU","10.41 mg/L","7.6","30.11.2023 18:27"
"Muuli VKM","30.11.2023 18:20","849 μS/cm","146.49 NTU","10.46 mg/L","7.6","30.11.2023 18:22"
"Muuli VKM","30.11.2023 18:15","849 μS/cm","146.13 NTU","10.48 mg/L","7.61","30.11.2023 18:17"
"Muuli VKM","30.11.2023 18:10","849 μS/cm","145.46 NTU","10.49 mg/L","7.63","30.11.2023 18:12"
"Muuli VKM","30.11.2023 18:05","848 μS/cm","144.47 NTU","10.51 mg/L","7.66","30.11.2023 18:07"
"Muuli VKM","30.11.2023 18:00","849 μS/cm","137.03 NTU","10.53 mg/L","7.68","30.11.2023 18:02"
"Muuli VKM","30.11.2023 17:55","849 μS/cm","132.54 NTU","10.58 mg/L","7.68","30.11.2023 17:57"
"Muuli VKM","30.11.2023 17:50","852 μS/cm","124.59 NTU","10.61 mg/L","7.68","30.11.2023 17:52"
"Muuli VKM","30.11.2023 17:45","857 μS/cm","121.93 NTU","10.67 mg/L","7.68","30.11.2023 17:47"
"Muuli VKM","30.11.2023 17:40","862 μS/cm","119.15 NTU","10.68 mg/L","7.68","30.11.2023 17:42"
"Muuli VKM","30.11.2023 17:35","867 μS/cm","116.36 NTU","10.72 mg/L","7.68","30.11.2023 17:37"
"Muuli VKM","30.11.2023 17:30","873 μS/cm","113.71 NTU","10.76 mg/L","7.68","30.11.2023 17:32"
"Muuli VKM","30.11.2023 17:25","878 μS/cm","111.22 NTU","10.83 mg/L","7.68","30.11.2023 17:27"
"Muuli VKM","30.11.2023 17:20","883 μS/cm","109.05 NTU","10.92 mg/L","7.68","30.11.2023 17:22"
"Muuli VKM","30.11.2023 17:15","888 μS/cm","109.48 NTU","11.07 mg/L","7.68","30.11.2023 17:17"
"Muuli VKM","30.11.2023 17:10","892 μS/cm","116.21 NTU","11.09 mg/L","7.67","30.11.2023 17:12"
"Muuli VKM","30.11.2023 17:05","895 μS/cm","120.12 NTU","10.93 mg/L","7.64","30.11.2023 17:07"
"Muuli VKM","30.11.2023 17:00","882 μS/cm","127.41 NTU","10.39 mg/L","7.61","30.11.2023 17:02"
"Muuli VKM","30.11.2023 16:55","882 μS/cm","129.49 NTU","10.42 mg/L","7.61","30.11.2023 16:57"
"Muuli VKM","30.11.2023 16:50","882 μS/cm","131.72 NTU","10.42 mg/L","7.62","30.11.2023 16:52"
"Muuli VKM","30.11.2023 16:45","882 μS/cm","134.18 NTU","10.49 mg/L","7.62","30.11.2023 16:47"
"Muuli VKM","30.11.2023 16:40","882 μS/cm","136.63 NTU","10.5 mg/L","7.62","30.11.2023 16:42"
"Muuli VKM","30.11.2023 16:35","882 μS/cm","139.06 NTU","10.5 mg/L","7.63","30.11.2023 16:37"
"Muuli VKM","30.11.2023 16:30","882 μS/cm","141.23 NTU","10.51 mg/L","7.63","30.11.2023 16:32"
"Muuli VKM","30.11.2023 16:25","882 μS/cm","140.98 NTU","10.54 mg/L","7.64","30.11.2023 16:27"
"Muuli VKM","30.11.2023 16:20","882 μS/cm","140.89 NTU","10.57 mg/L","7.64","30.11.2023 16:22"
"Muuli VKM","30.11.2023 16:15","882 μS/cm","140.79 NTU","10.58 mg/L","7.64","30.11.2023 16:17"
"Muuli VKM","30.11.2023 16:10","882 μS/cm","140.54 NTU","10.64 mg/L","7.65","30.11.2023 16:12"
"Muuli VKM","30.11.2023 16:05","882 μS/cm","140.5 NTU","10.65 mg/L","7.65","30.11.2023 16:07"
"Muuli VKM","30.11.2023 16:00","882 μS/cm","132.89 NTU","10.7 mg/L","7.65","30.11.2023 16:02"
"Muuli VKM","30.11.2023 15:55","884 μS/cm","126.67 NTU","10.7 mg/L","7.66","30.11.2023 15:57"
"Muuli VKM","30.11.2023 15:50","889 μS/cm","120.42 NTU","10.73 mg/L","7.66","30.11.2023 15:52"
"Muuli VKM","30.11.2023 15:45","893 μS/cm","118.3 NTU","10.78 mg/L","7.67","30.11.2023 15:47"
"Muuli VKM","30.11.2023 15:40","897 μS/cm","116.29 NTU","10.83 mg/L","7.67","30.11.2023 15:42"
"Muuli VKM","30.11.2023 15:35","901 μS/cm","114.44 NTU","10.86 mg/L","7.67","30.11.2023 15:37"
"Muuli VKM","30.11.2023 15:30","905 μS/cm","112.61 NTU","10.92 mg/L","7.67","30.11.2023 15:32"
"Muuli VKM","30.11.2023 15:25","908 μS/cm","110.84 NTU","10.94 mg/L","7.67","30.11.2023 15:27"
"Muuli VKM","30.11.2023 15:20","911 μS/cm","108.98 NTU","11 mg/L","7.67","30.11.2023 15:22"
"Muuli VKM","30.11.2023 15:15","915 μS/cm","108.36 NTU","10.98 mg/L","7.66","30.11.2023 15:17"
"Muuli VKM","30.11.2023 15:10","916 μS/cm","115.29 NTU","10.96 mg/L","7.65","30.11.2023 15:12"
"Muuli VKM","30.11.2023 15:05","916 μS/cm","120.73 NTU","10.97 mg/L","7.64","30.11.2023 15:07"
"Muuli VKM","30.11.2023 15:00","902 μS/cm","126.12 NTU","10.74 mg/L","7.62","30.11.2023 15:02"
"Muuli VKM","30.11.2023 14:55","901 μS/cm","127.47 NTU","10.75 mg/L","7.63","30.11.2023 14:57"
"Muuli VKM","30.11.2023 14:50","899 μS/cm","128.84 NTU","10.77 mg/L","7.63","30.11.2023 14:52"
"Muuli VKM","30.11.2023 14:45","898 μS/cm","130.26 NTU","10.78 mg/L","7.63","30.11.2023 14:47"
"Muuli VKM","30.11.2023 14:40","896 μS/cm","131.65 NTU","10.8 mg/L","7.64","30.11.2023 14:42"
"Muuli VKM","30.11.2023 14:35","894 μS/cm","132.95 NTU","10.78 mg/L","7.64","30.11.2023 14:37"
"Muuli VKM","30.11.2023 14:30","892 μS/cm","134.53 NTU","10.79 mg/L","7.64","30.11.2023 14:32"
"Muuli VKM","30.11.2023 14:25","890 μS/cm","134.68 NTU","10.78 mg/L","7.65","30.11.2023 14:27"
"Muuli VKM","30.11.2023 14:20","889 μS/cm","134.87 NTU","10.8 mg/L","7.65","30.11.2023 14:22"
"Muuli VKM","30.11.2023 14:15","886 μS/cm","134.98 NTU","10.82 mg/L","7.66","30.11.2023 14:17"
"Muuli VKM","30.11.2023 14:10","885 μS/cm","135.45 NTU","10.85 mg/L","7.66","30.11.2023 14:12"
"Muuli VKM","30.11.2023 14:05","883 μS/cm","137.27 NTU","10.85 mg/L","7.66","30.11.2023 14:07"
"Muuli VKM","30.11.2023 14:00","879 μS/cm","137.62 NTU","10.87 mg/L","7.66","30.11.2023 14:02"
"Muuli VKM","30.11.2023 13:55","874 μS/cm","137.96 NTU","10.87 mg/L","7.67","30.11.2023 13:57"
"Muuli VKM","30.11.2023 13:50","869 μS/cm","138.35 NTU","10.88 mg/L","7.67","30.11.2023 13:52"
"Muuli VKM","30.11.2023 13:45","863 μS/cm","138.85 NTU","10.87 mg/L","7.67","30.11.2023 13:47"
"Muuli VKM","30.11.2023 13:40","856 μS/cm","139.58 NTU","10.89 mg/L","7.67","30.11.2023 13:42"
"Muuli VKM","30.11.2023 13:35","850 μS/cm","140.65 NTU","10.91 mg/L","7.68","30.11.2023 13:37"
"Muuli VKM","30.11.2023 13:30","845 μS/cm","142.17 NTU","10.97 mg/L","7.68","30.11.2023 13:32"
"Muuli VKM","30.11.2023 13:25","839 μS/cm","145.34 NTU","10.96 mg/L","7.67","30.11.2023 13:27"
"Muuli VKM","30.11.2023 13:20","833 μS/cm","152.54 NTU","11.01 mg/L","7.67","30.11.2023 13:22"
"Muuli VKM","30.11.2023 13:15","827 μS/cm","48.51 NTU","11.02 mg/L","7.67","30.11.2023 13:17"
"Muuli VKM","30.11.2023 13:10","823 μS/cm","42.98 NTU","11.01 mg/L","7.66","30.11.2023 13:12"
"Muuli VKM","30.11.2023 13:05","820 μS/cm","39.16 NTU","10.95 mg/L","7.65","30.11.2023 13:07"
"Muuli VKM","30.11.2023 13:00","818 μS/cm","119.57 NTU","10.86 mg/L","7.64","30.11.2023 13:02"
"Muuli VKM","30.11.2023 12:55","817 μS/cm","120.13 NTU","10.88 mg/L","7.64","30.11.2023 12:57"
"Muuli VKM","30.11.2023 12:50","817 μS/cm","120.54 NTU","10.88 mg/L","7.65","30.11.2023 12:52"
"Muuli VKM","30.11.2023 12:45","817 μS/cm","120.92 NTU","10.89 mg/L","7.65","30.11.2023 12:47"
"Muuli VKM","30.11.2023 12:40","817 μS/cm","121.22 NTU","10.91 mg/L","7.65","30.11.2023 12:42"
"Muuli VKM","30.11.2023 12:35","817 μS/cm","121.56 NTU","10.9 mg/L","7.66","30.11.2023 12:37"
"Muuli VKM","30.11.2023 12:30","816 μS/cm","120.83 NTU","10.92 mg/L","7.66","30.11.2023 12:32"
"Muuli VKM","30.11.2023 12:25","816 μS/cm","120.08 NTU","10.94 mg/L","7.66","30.11.2023 12:27"
"Muuli VKM","30.11.2023 12:20","816 μS/cm","119.42 NTU","10.93 mg/L","7.67","30.11.2023 12:22"
"Muuli VKM","30.11.2023 12:15","817 μS/cm","118.92 NTU","10.96 mg/L","7.67","30.11.2023 12:17"
"Muuli VKM","30.11.2023 12:10","817 μS/cm","118.7 NTU","10.95 mg/L","7.68","30.11.2023 12:12"
"Muuli VKM","30.11.2023 12:05","817 μS/cm","117.33 NTU","10.97 mg/L","7.68","30.11.2023 12:07"
"Muuli VKM","30.11.2023 12:00","817 μS/cm","116.94 NTU","11.01 mg/L","7.68","30.11.2023 12:02"
"Muuli VKM","30.11.2023 11:55","817 μS/cm","116.58 NTU","11.01 mg/L","7.69","30.11.2023 11:57"
"Muuli VKM","30.11.2023 11:50","817 μS/cm","116.33 NTU","11.02 mg/L","7.7","30.11.2023 11:52"
"Muuli VKM","30.11.2023 11:45","820 μS/cm","115.95 NTU","11.04 mg/L","7.7","30.11.2023 11:47"
"Muuli VKM","30.11.2023 11:40","821 μS/cm","115.61 NTU","11.05 mg/L","7.71","30.11.2023 11:42"
"Muuli VKM","30.11.2023 11:35","822 μS/cm","115.33 NTU","11.04 mg/L","7.71","30.11.2023 11:37"
"Muuli VKM","30.11.2023 11:30","825 μS/cm","114.72 NTU","11.12 mg/L","7.71","30.11.2023 11:32"
"Muuli VKM","30.11.2023 11:25","826 μS/cm","113.35 NTU","11.14 mg/L","7.71","30.11.2023 11:27"
"Muuli VKM","30.11.2023 11:20","826 μS/cm","107.4 NTU","11.15 mg/L","7.71","30.11.2023 11:22"
"Muuli VKM","30.11.2023 11:15","828 μS/cm","45.54 NTU","11.21 mg/L","7.7","30.11.2023 11:17"
"Muuli VKM","30.11.2023 11:10","828 μS/cm","45.41 NTU","11.15 mg/L","7.69","30.11.2023 11:12"
"Muuli VKM","30.11.2023 11:05","828 μS/cm","104.5 NTU","11.1 mg/L","7.67","30.11.2023 11:07"
"Muuli VKM","30.11.2023 11:00","825 μS/cm","109.02 NTU","10.86 mg/L","7.66","30.11.2023 11:02"
"Muuli VKM","30.11.2023 10:55","825 μS/cm","109.45 NTU","10.9 mg/L","7.66","30.11.2023 10:57"
"Muuli VKM","30.11.2023 10:50","824 μS/cm","109.83 NTU","10.9 mg/L","7.66","30.11.2023 10:52"
"Muuli VKM","30.11.2023 10:45","824 μS/cm","110.21 NTU","10.91 mg/L","7.67","30.11.2023 10:47"
"Muuli VKM","30.11.2023 10:40","824 μS/cm","110.65 NTU","10.93 mg/L","7.67","30.11.2023 10:42"
"Muuli VKM","30.11.2023 10:35","824 μS/cm","110.52 NTU","10.93 mg/L","7.67","30.11.2023 10:37"
"Muuli VKM","30.11.2023 10:30","824 μS/cm","110.29 NTU","10.97 mg/L","7.67","30.11.2023 10:32"
"Muuli VKM","30.11.2023 10:25","825 μS/cm","110.01 NTU","10.97 mg/L","7.68","30.11.2023 10:27"
"Muuli VKM","30.11.2023 10:20","824 μS/cm","109.74 NTU","11.02 mg/L","7.68","30.11.2023 10:22"
"Muuli VKM","30.11.2023 10:15","824 μS/cm","109.34 NTU","11.02 mg/L","7.68","30.11.2023 10:17"
"Muuli VKM","30.11.2023 10:10","824 μS/cm","108.79 NTU","11.03 mg/L","7.69","30.11.2023 10:12"
"Muuli VKM","30.11.2023 10:05","825 μS/cm","108.01 NTU","11.03 mg/L","7.69","30.11.2023 10:07"
"Muuli VKM","30.11.2023 10:00","825 μS/cm","105.3 NTU","11.04 mg/L","7.69","30.11.2023 10:02"
"Muuli VKM","30.11.2023 09:55","826 μS/cm","101.62 NTU","11.06 mg/L","7.7","30.11.2023 09:57"
"Muuli VKM","30.11.2023 09:50","827 μS/cm","97.33 NTU","11.08 mg/L","7.7","30.11.2023 09:52"
"Muuli VKM","30.11.2023 09:45","832 μS/cm","97.86 NTU","11.11 mg/L","7.71","30.11.2023 09:47"
"Muuli VKM","30.11.2023 09:40","836 μS/cm","98.36 NTU","11.11 mg/L","7.71","30.11.2023 09:42"
"Muuli VKM","30.11.2023 09:35","841 μS/cm","98.91 NTU","11.15 mg/L","7.71","30.11.2023 09:37"
"Muuli VKM","30.11.2023 09:30","845 μS/cm","94.24 NTU","11.19 mg/L","7.71","30.11.2023 09:32"
"Muuli VKM","30.11.2023 09:25","849 μS/cm","95.16 NTU","11.18 mg/L","7.71","30.11.2023 09:27"
"Muuli VKM","30.11.2023 09:20","852 μS/cm","96.33 NTU","11.25 mg/L","7.71","30.11.2023 09:22"
"Muuli VKM","30.11.2023 09:15","855 μS/cm","97.2 NTU","11.25 mg/L","7.71","30.11.2023 09:17"
"Muuli VKM","30.11.2023 09:10","859 μS/cm","100.19 NTU","11.22 mg/L","7.7","30.11.2023 09:12"
"Muuli VKM","30.11.2023 09:05","862 μS/cm","104.27 NTU","11.18 mg/L","7.68","30.11.2023 09:07"
"Muuli VKM","30.11.2023 09:00","854 μS/cm","109.16 NTU","10.86 mg/L","7.65","30.11.2023 09:02"
"Muuli VKM","30.11.2023 08:55","853 μS/cm","109.17 NTU","10.85 mg/L","7.65","30.11.2023 08:57"
"Muuli VKM","30.11.2023 08:50","852 μS/cm","109.32 NTU","10.88 mg/L","7.65","30.11.2023 08:52"
"Muuli VKM","30.11.2023 08:45","852 μS/cm","109.67 NTU","10.92 mg/L","7.66","30.11.2023 08:47"
"Muuli VKM","30.11.2023 08:40","851 μS/cm","115.21 NTU","10.91 mg/L","7.66","30.11.2023 08:42"
"Muuli VKM","30.11.2023 08:35","850 μS/cm","115.33 NTU","10.93 mg/L","7.66","30.11.2023 08:37"
"Muuli VKM","30.11.2023 08:30","850 μS/cm","115.37 NTU","10.92 mg/L","7.67","30.11.2023 08:32"
"Muuli VKM","30.11.2023 08:25","850 μS/cm","115.83 NTU","10.94 mg/L","7.67","30.11.2023 08:27"
"Muuli VKM","30.11.2023 08:20","849 μS/cm","116.25 NTU","10.97 mg/L","7.67","30.11.2023 08:22"
"Muuli VKM","30.11.2023 08:15","849 μS/cm","116.52 NTU","11.02 mg/L","7.67","30.11.2023 08:17"
"Muuli VKM","30.11.2023 08:10","848 μS/cm","116.5 NTU","11.01 mg/L","7.68","30.11.2023 08:12"
"Muuli VKM","30.11.2023 08:05","849 μS/cm","117.47 NTU","11.03 mg/L","7.68","30.11.2023 08:07"
"Muuli VKM","30.11.2023 08:00","847 μS/cm","117.64 NTU","11.03 mg/L","7.69","30.11.2023 08:02"
"Muuli VKM","30.11.2023 07:55","844 μS/cm","117.66 NTU","11.06 mg/L","7.69","30.11.2023 07:57"
"Muuli VKM","30.11.2023 07:50","840 μS/cm","117.78 NTU","11.09 mg/L","7.69","30.11.2023 07:52"
"Muuli VKM","30.11.2023 07:45","837 μS/cm","117.91 NTU","11.12 mg/L","7.69","30.11.2023 07:47"
"Muuli VKM","30.11.2023 07:40","835 μS/cm","118.11 NTU","11.08 mg/L","7.7","30.11.2023 07:42"
"Muuli VKM","30.11.2023 07:35","833 μS/cm","118.55 NTU","11.15 mg/L","7.7","30.11.2023 07:37"
"Muuli VKM","30.11.2023 07:30","831 μS/cm","119.18 NTU","11.19 mg/L","7.7","30.11.2023 07:32"
"Muuli VKM","30.11.2023 07:25","829 μS/cm","120.32 NTU","11.21 mg/L","7.7","30.11.2023 07:27"
"Muuli VKM","30.11.2023 07:20","826 μS/cm","124.63 NTU","11.22 mg/L","7.69","30.11.2023 07:22"
"Muuli VKM","30.11.2023 07:15","825 μS/cm","48.97 NTU","11.27 mg/L","7.69","30.11.2023 07:17"
"Muuli VKM","30.11.2023 07:10","825 μS/cm","43.48 NTU","11.32 mg/L","7.68","30.11.2023 07:12"
"Muuli VKM","30.11.2023 07:05","827 μS/cm","42.18 NTU","11.27 mg/L","7.67","30.11.2023 07:07"
"Muuli VKM","30.11.2023 07:00","813 μS/cm","118 NTU","10.91 mg/L","7.64","30.11.2023 07:02"
"Muuli VKM","30.11.2023 06:55","812 μS/cm","119.6 NTU","10.91 mg/L","7.64","30.11.2023 06:57"
"Muuli VKM","30.11.2023 06:50","813 μS/cm","121.22 NTU","10.9 mg/L","7.65","30.11.2023 06:52"
"Muuli VKM","30.11.2023 06:45","812 μS/cm","122.98 NTU","10.95 mg/L","7.65","30.11.2023 06:47"
"Muuli VKM","30.11.2023 06:40","812 μS/cm","123.36 NTU","10.98 mg/L","7.65","30.11.2023 06:42"
"Muuli VKM","30.11.2023 06:35","812 μS/cm","123.82 NTU","10.98 mg/L","7.66","30.11.2023 06:37"
"Muuli VKM","30.11.2023 06:30","811 μS/cm","124.22 NTU","10.97 mg/L","7.66","30.11.2023 06:32"
"Muuli VKM","30.11.2023 06:25","811 μS/cm","124.5 NTU","11.01 mg/L","7.66","30.11.2023 06:27"
"Muuli VKM","30.11.2023 06:20","811 μS/cm","124.68 NTU","11.05 mg/L","7.67","30.11.2023 06:22"
"Muuli VKM","30.11.2023 06:15","810 μS/cm","124.97 NTU","11.06 mg/L","7.67","30.11.2023 06:17"
"Muuli VKM","30.11.2023 06:10","811 μS/cm","125.03 NTU","11.06 mg/L","7.68","30.11.2023 06:12"
"Muuli VKM","30.11.2023 06:05","811 μS/cm","125.01 NTU","11.05 mg/L","7.68","30.11.2023 06:12"
"Muuli VKM","30.11.2023 06:00","812 μS/cm","125.12 NTU","11.11 mg/L","7.68","30.11.2023 06:02"
"Muuli VKM","30.11.2023 05:55","812 μS/cm","125.18 NTU","11.11 mg/L","7.69","30.11.2023 06:02"
"Muuli VKM","30.11.2023 05:50","813 μS/cm","125.22 NTU","11.14 mg/L","7.69","30.11.2023 05:52"
"Muuli VKM","30.11.2023 05:45","818 μS/cm","125.1 NTU","11.16 mg/L","7.69","30.11.2023 05:47"
"Muuli VKM","30.11.2023 05:40","823 μS/cm","124.98 NTU","11.18 mg/L","7.7","30.11.2023 05:42"
"Muuli VKM","30.11.2023 05:35","827 μS/cm","124.76 NTU","11.21 mg/L","7.7","30.11.2023 05:37"
"Muuli VKM","30.11.2023 05:30","831 μS/cm","124.78 NTU","11.23 mg/L","7.7","30.11.2023 05:32"
"Muuli VKM","30.11.2023 05:25","835 μS/cm","123.92 NTU","11.26 mg/L","7.7","30.11.2023 05:27"
"Muuli VKM","30.11.2023 05:20","839 μS/cm","123.38 NTU","11.29 mg/L","7.7","30.11.2023 05:22"
"Muuli VKM","30.11.2023 05:15","842 μS/cm","34.91 NTU","11.32 mg/L","7.69","30.11.2023 05:17"
"Muuli VKM","30.11.2023 05:10","845 μS/cm","34.88 NTU","11.3 mg/L","7.67","30.11.2023 05:12"
"Muuli VKM","30.11.2023 05:05","848 μS/cm","31.88 NTU","11.25 mg/L","7.65","30.11.2023 05:07"
