"Seade","Mõõtmise aeg","elektrijuhtivus","hägusus","hapnik","pH","Laekumise aeg"
"Muuli VKM","31.05.2024 20:55","917 μS/cm","84.01 NTU","4.89 mg/L","7.42","01.07.2024 16:55"
"Muuli VKM","31.05.2024 20:50","916 μS/cm","84.09 NTU","4.91 mg/L","7.42","01.07.2024 16:55"
"Muuli VKM","31.05.2024 20:45","916 μS/cm","84.07 NTU","4.93 mg/L","7.43","01.07.2024 16:55"
"Muuli VKM","31.05.2024 20:40","916 μS/cm","84.2 NTU","4.94 mg/L","7.43","01.07.2024 16:55"
"Muuli VKM","31.05.2024 20:35","916 μS/cm","84.49 NTU","4.99 mg/L","7.43","01.07.2024 16:55"
"Muuli VKM","31.05.2024 20:30","915 μS/cm","84.68 NTU","4.99 mg/L","7.44","01.07.2024 16:55"
"Muuli VKM","31.05.2024 20:25","915 μS/cm","84.82 NTU","5 mg/L","7.43","01.07.2024 16:55"
"Muuli VKM","31.05.2024 20:20","914 μS/cm","84.92 NTU","5.01 mg/L","7.43","01.07.2024 16:55"
"Muuli VKM","31.05.2024 20:15","914 μS/cm","84.84 NTU","5.05 mg/L","7.43","01.07.2024 16:55"
"Muuli VKM","31.05.2024 20:10","913 μS/cm","84.86 NTU","5.06 mg/L","7.43","01.07.2024 16:55"
"Muuli VKM","31.05.2024 20:05","912 μS/cm","85.57 NTU","5.08 mg/L","7.43","01.07.2024 16:55"
"Muuli VKM","31.05.2024 20:00","910 μS/cm","85.7 NTU","5.11 mg/L","7.44","01.07.2024 16:55"
"Muuli VKM","31.05.2024 19:55","908 μS/cm","85.92 NTU","5.15 mg/L","7.44","01.07.2024 16:55"
"Muuli VKM","31.05.2024 19:50","906 μS/cm","86.09 NTU","5.19 mg/L","7.44","01.07.2024 16:55"
"Muuli VKM","31.05.2024 19:45","908 μS/cm","86.21 NTU","5.23 mg/L","7.44","01.07.2024 16:55"
"Muuli VKM","31.05.2024 19:40","907 μS/cm","86.3 NTU","5.27 mg/L","7.46","01.07.2024 16:55"
"Muuli VKM","31.05.2024 19:35","909 μS/cm","86.67 NTU","5.37 mg/L","7.47","01.07.2024 16:55"
"Muuli VKM","31.05.2024 19:30","911 μS/cm","87.14 NTU","5.46 mg/L","7.49","01.07.2024 16:55"
"Muuli VKM","31.05.2024 19:25","913 μS/cm","88.74 NTU","5.56 mg/L","7.51","01.07.2024 16:55"
"Muuli VKM","31.05.2024 19:20","914 μS/cm","92.26 NTU","5.69 mg/L","7.53","01.07.2024 16:55"
"Muuli VKM","31.05.2024 19:15","916 μS/cm","62.63 NTU","5.87 mg/L","7.55","01.07.2024 16:55"
"Muuli VKM","31.05.2024 19:10","918 μS/cm","56.16 NTU","5.92 mg/L","7.55","01.07.2024 16:55"
"Muuli VKM","31.05.2024 19:05","921 μS/cm","56.69 NTU","5.91 mg/L","7.55","01.07.2024 16:55"
"Muuli VKM","31.05.2024 19:00","924 μS/cm","96.11 NTU","5.42 mg/L","7.5","01.07.2024 16:55"
"Muuli VKM","31.05.2024 18:55","924 μS/cm","96.12 NTU","5.41 mg/L","7.49","01.07.2024 16:55"
"Muuli VKM","31.05.2024 18:50","926 μS/cm","96.23 NTU","5.43 mg/L","7.49","01.07.2024 16:55"
"Muuli VKM","31.05.2024 18:45","925 μS/cm","96.33 NTU","5.44 mg/L","7.49","01.07.2024 16:55"
"Muuli VKM","31.05.2024 18:40","925 μS/cm","96.5 NTU","5.45 mg/L","7.49","01.07.2024 16:55"
"Muuli VKM","31.05.2024 18:35","925 μS/cm","96.54 NTU","5.45 mg/L","7.49","01.07.2024 16:55"
"Muuli VKM","31.05.2024 18:30","924 μS/cm","96.66 NTU","5.46 mg/L","7.49","01.07.2024 16:55"
"Muuli VKM","31.05.2024 18:25","924 μS/cm","96.76 NTU","5.49 mg/L","7.49","01.07.2024 16:55"
"Muuli VKM","31.05.2024 18:20","923 μS/cm","96.91 NTU","5.49 mg/L","7.48","01.07.2024 16:55"
"Muuli VKM","31.05.2024 18:15","923 μS/cm","97.14 NTU","5.55 mg/L","7.48","01.07.2024 16:55"
"Muuli VKM","31.05.2024 18:10","922 μS/cm","97.34 NTU","5.52 mg/L","7.48","01.07.2024 16:55"
"Muuli VKM","31.05.2024 18:05","921 μS/cm","97.79 NTU","5.54 mg/L","7.48","01.07.2024 16:55"
"Muuli VKM","31.05.2024 18:00","922 μS/cm","97.91 NTU","5.58 mg/L","7.48","01.07.2024 16:55"
"Muuli VKM","31.05.2024 17:55","923 μS/cm","98.08 NTU","5.58 mg/L","7.48","01.07.2024 16:55"
"Muuli VKM","31.05.2024 17:50","925 μS/cm","98.17 NTU","5.62 mg/L","7.48","01.07.2024 16:55"
"Muuli VKM","31.05.2024 17:45","929 μS/cm","98.48 NTU","5.68 mg/L","7.48","01.07.2024 16:55"
"Muuli VKM","31.05.2024 17:40","932 μS/cm","98.69 NTU","5.7 mg/L","7.49","01.07.2024 16:55"
"Muuli VKM","31.05.2024 17:35","936 μS/cm","99.05 NTU","5.79 mg/L","7.5","01.07.2024 16:55"
"Muuli VKM","31.05.2024 17:30","940 μS/cm","99.54 NTU","5.85 mg/L","7.51","01.07.2024 16:55"
"Muuli VKM","31.05.2024 17:25","943 μS/cm","100.09 NTU","5.95 mg/L","7.53","01.07.2024 16:55"
"Muuli VKM","31.05.2024 17:20","947 μS/cm","101.25 NTU","6.12 mg/L","7.54","01.07.2024 16:55"
"Muuli VKM","31.05.2024 17:15","950 μS/cm","51.4 NTU","6.14 mg/L","7.53","01.07.2024 16:55"
"Muuli VKM","31.05.2024 17:10","952 μS/cm","50.06 NTU","6.17 mg/L","7.52","01.07.2024 16:55"
"Muuli VKM","31.05.2024 17:05","954 μS/cm","41.71 NTU","6.13 mg/L","7.5","01.07.2024 16:55"
"Muuli VKM","31.05.2024 17:00","933 μS/cm","93.75 NTU","5.18 mg/L","7.42","01.07.2024 16:55"
"Muuli VKM","31.05.2024 16:55","932 μS/cm","93.59 NTU","5.16 mg/L","7.42","01.07.2024 16:55"
"Muuli VKM","31.05.2024 16:50","932 μS/cm","93.45 NTU","5.18 mg/L","7.42","01.07.2024 16:55"
"Muuli VKM","31.05.2024 16:45","932 μS/cm","93.32 NTU","5.18 mg/L","7.42","01.07.2024 16:55"
"Muuli VKM","31.05.2024 16:40","931 μS/cm","93.12 NTU","5.2 mg/L","7.43","01.07.2024 16:55"
"Muuli VKM","31.05.2024 16:35","931 μS/cm","92.88 NTU","5.22 mg/L","7.43","01.07.2024 16:55"
"Muuli VKM","31.05.2024 16:30","930 μS/cm","92.84 NTU","5.23 mg/L","7.44","01.07.2024 16:55"
"Muuli VKM","31.05.2024 16:25","930 μS/cm","92.66 NTU","5.24 mg/L","7.44","01.07.2024 16:55"
"Muuli VKM","31.05.2024 16:20","930 μS/cm","93.59 NTU","5.26 mg/L","7.44","01.07.2024 16:55"
"Muuli VKM","31.05.2024 16:15","929 μS/cm","78.95 NTU","5.31 mg/L","7.44","01.07.2024 16:55"
"Muuli VKM","31.05.2024 16:10","929 μS/cm","77.91 NTU","5.3 mg/L","7.45","01.07.2024 16:55"
"Muuli VKM","31.05.2024 16:05","928 μS/cm","76.55 NTU","5.35 mg/L","7.45","01.07.2024 16:55"
"Muuli VKM","31.05.2024 16:00","928 μS/cm","72.39 NTU","5.37 mg/L","7.45","01.07.2024 16:55"
"Muuli VKM","31.05.2024 15:55","927 μS/cm","68.26 NTU","5.39 mg/L","7.45","01.07.2024 16:55"
"Muuli VKM","31.05.2024 15:50","924 μS/cm","63.75 NTU","5.42 mg/L","7.46","01.07.2024 16:55"
"Muuli VKM","31.05.2024 15:45","929 μS/cm","60.96 NTU","5.49 mg/L","7.46","01.07.2024 16:55"
"Muuli VKM","31.05.2024 15:40","933 μS/cm","58.21 NTU","5.5 mg/L","7.46","01.07.2024 16:55"
"Muuli VKM","31.05.2024 15:35","938 μS/cm","55.59 NTU","5.57 mg/L","7.47","01.07.2024 16:55"
"Muuli VKM","31.05.2024 15:30","943 μS/cm","53.04 NTU","5.64 mg/L","7.48","01.07.2024 16:55"
"Muuli VKM","31.05.2024 15:25","947 μS/cm","50.66 NTU","5.74 mg/L","7.5","01.07.2024 16:55"
"Muuli VKM","31.05.2024 15:20","952 μS/cm","48.48 NTU","5.89 mg/L","7.51","01.07.2024 16:55"
"Muuli VKM","31.05.2024 15:15","956 μS/cm","46.67 NTU","5.94 mg/L","7.51","01.07.2024 16:55"
"Muuli VKM","31.05.2024 15:10","960 μS/cm","47.76 NTU","6.08 mg/L","7.53","01.07.2024 16:55"
"Muuli VKM","31.05.2024 15:05","965 μS/cm","48.99 NTU","6.22 mg/L","7.54","01.07.2024 16:55"
"Muuli VKM","31.05.2024 15:00","954 μS/cm","50.65 NTU","5.53 mg/L","7.49","01.07.2024 16:55"
"Muuli VKM","31.05.2024 14:55","953 μS/cm","50.69 NTU","5.55 mg/L","7.49","01.07.2024 16:55"
"Muuli VKM","31.05.2024 14:50","953 μS/cm","50.71 NTU","5.56 mg/L","7.49","01.07.2024 16:55"
"Muuli VKM","31.05.2024 14:45","953 μS/cm","50.71 NTU","5.53 mg/L","7.49","01.07.2024 16:55"
"Muuli VKM","31.05.2024 14:40","953 μS/cm","50.67 NTU","5.58 mg/L","7.48","01.07.2024 16:55"
"Muuli VKM","31.05.2024 14:35","953 μS/cm","50.61 NTU","5.57 mg/L","7.48","01.07.2024 16:55"
"Muuli VKM","31.05.2024 14:30","953 μS/cm","50.54 NTU","5.57 mg/L","7.48","01.07.2024 16:55"
"Muuli VKM","31.05.2024 14:25","952 μS/cm","50.51 NTU","5.61 mg/L","7.49","01.07.2024 16:55"
"Muuli VKM","31.05.2024 14:20","952 μS/cm","50.4 NTU","5.59 mg/L","7.49","01.07.2024 16:55"
"Muuli VKM","31.05.2024 14:15","951 μS/cm","50.26 NTU","5.63 mg/L","7.49","01.07.2024 16:55"
"Muuli VKM","31.05.2024 14:10","951 μS/cm","50.2 NTU","5.64 mg/L","7.49","01.07.2024 16:55"
"Muuli VKM","31.05.2024 14:05","951 μS/cm","48.56 NTU","5.66 mg/L","7.49","01.07.2024 16:55"
"Muuli VKM","31.05.2024 14:00","948 μS/cm","47.01 NTU","5.68 mg/L","7.49","01.07.2024 16:55"
"Muuli VKM","31.05.2024 13:55","946 μS/cm","49.34 NTU","5.74 mg/L","7.49","01.07.2024 16:55"
"Muuli VKM","31.05.2024 13:50","947 μS/cm","49.8 NTU","5.73 mg/L","7.49","01.07.2024 16:55"
"Muuli VKM","31.05.2024 13:45","941 μS/cm","49.68 NTU","5.75 mg/L","7.5","01.07.2024 16:55"
"Muuli VKM","31.05.2024 13:40","934 μS/cm","49.57 NTU","5.82 mg/L","7.5","01.07.2024 16:55"
"Muuli VKM","31.05.2024 13:35","928 μS/cm","49.39 NTU","5.87 mg/L","7.51","01.07.2024 16:55"
"Muuli VKM","31.05.2024 13:30","922 μS/cm","49.28 NTU","5.98 mg/L","7.53","01.07.2024 16:55"
"Muuli VKM","31.05.2024 13:25","916 μS/cm","49.11 NTU","6.1 mg/L","7.54","01.07.2024 16:55"
"Muuli VKM","31.05.2024 13:20","909 μS/cm","48.93 NTU","6.19 mg/L","7.55","01.07.2024 16:55"
"Muuli VKM","31.05.2024 13:15","901 μS/cm","50.28 NTU","6.24 mg/L","7.55","01.07.2024 16:55"
"Muuli VKM","31.05.2024 13:10","895 μS/cm","51.54 NTU","6.22 mg/L","7.55","01.07.2024 16:55"
"Muuli VKM","31.05.2024 13:05","888 μS/cm","48.87 NTU","6.15 mg/L","7.55","01.07.2024 16:55"
"Muuli VKM","31.05.2024 13:00","883 μS/cm","48.1 NTU","5.73 mg/L","7.56","01.07.2024 16:55"
"Muuli VKM","31.05.2024 12:55","883 μS/cm","47.97 NTU","5.74 mg/L","7.55","01.07.2024 16:55"
"Muuli VKM","31.05.2024 12:50","883 μS/cm","47.79 NTU","5.76 mg/L","7.55","01.07.2024 16:55"
"Muuli VKM","31.05.2024 12:45","882 μS/cm","47.65 NTU","5.76 mg/L","7.55","01.07.2024 16:55"
"Muuli VKM","31.05.2024 12:40","882 μS/cm","47.51 NTU","5.77 mg/L","7.54","01.07.2024 16:55"
"Muuli VKM","31.05.2024 12:35","881 μS/cm","47.39 NTU","5.77 mg/L","7.54","01.07.2024 16:55"
"Muuli VKM","31.05.2024 12:30","881 μS/cm","47.12 NTU","5.77 mg/L","7.53","01.07.2024 16:55"
"Muuli VKM","31.05.2024 12:25","881 μS/cm","46.88 NTU","5.79 mg/L","7.53","01.07.2024 16:55"
"Muuli VKM","31.05.2024 12:20","880 μS/cm","46.69 NTU","5.8 mg/L","7.52","01.07.2024 16:55"
"Muuli VKM","31.05.2024 12:15","880 μS/cm","46.52 NTU","5.83 mg/L","7.52","01.07.2024 16:55"
"Muuli VKM","31.05.2024 12:10","879 μS/cm","46.46 NTU","5.84 mg/L","7.52","01.07.2024 16:55"
"Muuli VKM","31.05.2024 12:05","879 μS/cm","46.31 NTU","5.87 mg/L","7.51","01.07.2024 16:55"
"Muuli VKM","31.05.2024 12:00","879 μS/cm","46.41 NTU","5.89 mg/L","7.5","01.07.2024 16:55"
"Muuli VKM","31.05.2024 11:55","878 μS/cm","45.24 NTU","5.92 mg/L","7.49","01.07.2024 16:55"
"Muuli VKM","31.05.2024 11:50","878 μS/cm","45.16 NTU","5.93 mg/L","7.49","01.07.2024 16:55"
"Muuli VKM","31.05.2024 11:45","880 μS/cm","44.26 NTU","5.99 mg/L","7.49","01.07.2024 16:55"
"Muuli VKM","31.05.2024 11:40","883 μS/cm","43.47 NTU","6.01 mg/L","7.5","01.07.2024 16:55"
"Muuli VKM","31.05.2024 11:35","885 μS/cm","42.73 NTU","6.07 mg/L","7.51","01.07.2024 16:55"
"Muuli VKM","31.05.2024 11:30","887 μS/cm","41.96 NTU","6.16 mg/L","7.53","01.07.2024 16:55"
"Muuli VKM","31.05.2024 11:25","889 μS/cm","41.22 NTU","6.26 mg/L","7.54","01.07.2024 16:55"
"Muuli VKM","31.05.2024 11:20","891 μS/cm","40.42 NTU","6.38 mg/L","7.55","01.07.2024 16:55"
"Muuli VKM","31.05.2024 11:15","892 μS/cm","39.61 NTU","6.41 mg/L","7.55","01.07.2024 16:55"
"Muuli VKM","31.05.2024 11:10","894 μS/cm","38.61 NTU","6.44 mg/L","7.55","01.07.2024 16:55"
"Muuli VKM","31.05.2024 11:05","896 μS/cm","38.86 NTU","6.44 mg/L","7.55","01.07.2024 16:55"
"Muuli VKM","31.05.2024 11:00","887 μS/cm","38.02 NTU","5.86 mg/L","7.52","01.07.2024 16:55"
"Muuli VKM","31.05.2024 10:55","887 μS/cm","38 NTU","5.85 mg/L","7.51","01.07.2024 16:55"
"Muuli VKM","31.05.2024 10:50","886 μS/cm","38.04 NTU","5.88 mg/L","7.51","01.07.2024 16:55"
"Muuli VKM","31.05.2024 10:45","886 μS/cm","38.03 NTU","5.89 mg/L","7.51","01.07.2024 16:55"
"Muuli VKM","31.05.2024 10:40","885 μS/cm","38.03 NTU","5.88 mg/L","7.51","01.07.2024 16:55"
"Muuli VKM","31.05.2024 10:35","885 μS/cm","38.03 NTU","5.92 mg/L","7.51","01.07.2024 16:55"
"Muuli VKM","31.05.2024 10:30","885 μS/cm","38.1 NTU","5.92 mg/L","7.52","01.07.2024 16:55"
"Muuli VKM","31.05.2024 10:25","884 μS/cm","38.19 NTU","5.93 mg/L","7.52","01.07.2024 16:55"
"Muuli VKM","31.05.2024 10:20","884 μS/cm","38.35 NTU","5.98 mg/L","7.52","01.07.2024 16:55"
"Muuli VKM","31.05.2024 10:15","883 μS/cm","38.57 NTU","5.95 mg/L","7.51","01.07.2024 16:55"
"Muuli VKM","31.05.2024 10:10","883 μS/cm","38.81 NTU","5.99 mg/L","7.5","01.07.2024 16:55"
"Muuli VKM","31.05.2024 10:05","882 μS/cm","39.5 NTU","6.03 mg/L","7.49","01.07.2024 16:55"
"Muuli VKM","31.05.2024 10:00","882 μS/cm","40.47 NTU","6.01 mg/L","7.47","01.07.2024 16:55"
"Muuli VKM","31.05.2024 09:55","882 μS/cm","41.47 NTU","6.06 mg/L","7.47","01.07.2024 16:55"
"Muuli VKM","31.05.2024 09:50","881 μS/cm","42.34 NTU","6.07 mg/L","7.47","01.07.2024 16:55"
"Muuli VKM","31.05.2024 09:45","881 μS/cm","42.02 NTU","6.1 mg/L","7.48","01.07.2024 16:55"
"Muuli VKM","31.05.2024 09:40","882 μS/cm","41.64 NTU","6.16 mg/L","7.48","01.07.2024 16:55"
"Muuli VKM","31.05.2024 09:35","883 μS/cm","41.21 NTU","6.2 mg/L","7.49","01.07.2024 16:55"
"Muuli VKM","31.05.2024 09:30","883 μS/cm","40.66 NTU","6.29 mg/L","7.5","01.07.2024 16:55"
"Muuli VKM","31.05.2024 09:25","883 μS/cm","40.12 NTU","6.37 mg/L","7.51","01.07.2024 16:55"
"Muuli VKM","31.05.2024 09:20","883 μS/cm","39.48 NTU","6.5 mg/L","7.53","01.07.2024 16:55"
"Muuli VKM","31.05.2024 09:15","883 μS/cm","38.32 NTU","6.58 mg/L","7.53","01.07.2024 16:55"
"Muuli VKM","31.05.2024 09:10","884 μS/cm","36.91 NTU","6.6 mg/L","7.52","01.07.2024 16:55"
"Muuli VKM","31.05.2024 09:05","884 μS/cm","35.41 NTU","6.56 mg/L","7.52","01.07.2024 16:55"
"Muuli VKM","31.05.2024 09:00","869 μS/cm","34.07 NTU","5.6 mg/L","7.51","01.07.2024 16:55"
"Muuli VKM","31.05.2024 08:55","869 μS/cm","33.94 NTU","5.66 mg/L","7.5","01.07.2024 16:55"
"Muuli VKM","31.05.2024 08:50","868 μS/cm","33.8 NTU","5.68 mg/L","7.5","01.07.2024 16:55"
"Muuli VKM","31.05.2024 08:45","867 μS/cm","33.68 NTU","5.72 mg/L","7.49","01.07.2024 16:55"
"Muuli VKM","31.05.2024 08:40","867 μS/cm","33.55 NTU","5.8 mg/L","7.49","01.07.2024 16:55"
"Muuli VKM","31.05.2024 08:35","867 μS/cm","33.34 NTU","5.82 mg/L","7.49","01.07.2024 16:55"
"Muuli VKM","31.05.2024 08:30","866 μS/cm","33.2 NTU","5.88 mg/L","7.48","01.07.2024 16:55"
"Muuli VKM","31.05.2024 08:25","866 μS/cm","33.09 NTU","5.94 mg/L","7.47","01.07.2024 16:55"
"Muuli VKM","31.05.2024 08:20","866 μS/cm","32.96 NTU","5.99 mg/L","7.47","01.07.2024 16:55"
"Muuli VKM","31.05.2024 08:15","865 μS/cm","32.93 NTU","5.98 mg/L","7.46","01.07.2024 16:55"
"Muuli VKM","31.05.2024 08:10","864 μS/cm","32.85 NTU","5.98 mg/L","7.45","01.07.2024 16:55"
"Muuli VKM","31.05.2024 08:05","864 μS/cm","32.92 NTU","6.02 mg/L","7.44","01.07.2024 16:55"
"Muuli VKM","31.05.2024 08:00","863 μS/cm","32.56 NTU","6.03 mg/L","7.43","01.07.2024 16:55"
"Muuli VKM","31.05.2024 07:55","863 μS/cm","33.95 NTU","6.04 mg/L","7.43","01.07.2024 16:55"
"Muuli VKM","31.05.2024 07:50","863 μS/cm","33.82 NTU","6.07 mg/L","7.43","01.07.2024 16:55"
"Muuli VKM","31.05.2024 07:45","869 μS/cm","33.48 NTU","6.09 mg/L","7.43","01.07.2024 16:55"
"Muuli VKM","31.05.2024 07:40","875 μS/cm","33.12 NTU","6.12 mg/L","7.44","01.07.2024 16:55"
"Muuli VKM","31.05.2024 07:35","880 μS/cm","32.81 NTU","6.18 mg/L","7.45","01.07.2024 16:55"
"Muuli VKM","31.05.2024 07:30","886 μS/cm","32.45 NTU","6.23 mg/L","7.45","01.07.2024 16:55"
"Muuli VKM","31.05.2024 07:25","892 μS/cm","32.08 NTU","6.35 mg/L","7.47","01.07.2024 16:55"
"Muuli VKM","31.05.2024 07:20","898 μS/cm","31.76 NTU","6.48 mg/L","7.48","01.07.2024 16:55"
"Muuli VKM","31.05.2024 07:15","903 μS/cm","31.26 NTU","6.57 mg/L","7.49","01.07.2024 16:55"
"Muuli VKM","31.05.2024 07:10","907 μS/cm","31.22 NTU","6.58 mg/L","7.49","01.07.2024 16:55"
"Muuli VKM","31.05.2024 07:05","912 μS/cm","29.5 NTU","6.53 mg/L","7.49","01.07.2024 16:55"
"Muuli VKM","31.05.2024 07:00","887 μS/cm","29.34 NTU","5.7 mg/L","7.45","01.07.2024 16:55"
"Muuli VKM","31.05.2024 06:55","887 μS/cm","29.45 NTU","5.7 mg/L","7.45","01.07.2024 16:55"
"Muuli VKM","31.05.2024 06:50","887 μS/cm","29.51 NTU","5.7 mg/L","7.45","01.07.2024 16:55"
"Muuli VKM","31.05.2024 06:45","887 μS/cm","29.56 NTU","5.7 mg/L","7.45","01.07.2024 16:55"
"Muuli VKM","31.05.2024 06:40","886 μS/cm","29.62 NTU","5.73 mg/L","7.45","01.07.2024 16:55"
"Muuli VKM","31.05.2024 06:35","886 μS/cm","29.67 NTU","5.73 mg/L","7.45","01.07.2024 16:55"
"Muuli VKM","31.05.2024 06:30","885 μS/cm","29.66 NTU","5.74 mg/L","7.45","01.07.2024 16:55"
"Muuli VKM","31.05.2024 06:25","885 μS/cm","29.66 NTU","5.74 mg/L","7.44","01.07.2024 16:55"
"Muuli VKM","31.05.2024 06:20","884 μS/cm","29.67 NTU","5.75 mg/L","7.43","01.07.2024 16:55"
"Muuli VKM","31.05.2024 06:15","884 μS/cm","29.65 NTU","5.76 mg/L","7.43","01.07.2024 16:55"
"Muuli VKM","31.05.2024 06:10","883 μS/cm","29.59 NTU","5.77 mg/L","7.41","01.07.2024 16:55"
"Muuli VKM","31.05.2024 06:05","883 μS/cm","29.86 NTU","5.81 mg/L","7.4","01.07.2024 16:55"
"Muuli VKM","31.05.2024 06:00","882 μS/cm","29.54 NTU","5.83 mg/L","7.39","01.07.2024 16:55"
"Muuli VKM","31.05.2024 05:55","883 μS/cm","29.7 NTU","5.85 mg/L","7.38","01.07.2024 16:55"
"Muuli VKM","31.05.2024 05:50","885 μS/cm","30.58 NTU","5.88 mg/L","7.38","01.07.2024 16:55"
"Muuli VKM","31.05.2024 05:45","887 μS/cm","30.21 NTU","5.86 mg/L","7.39","01.07.2024 16:55"
"Muuli VKM","31.05.2024 05:40","889 μS/cm","29.88 NTU","5.91 mg/L","7.4","01.07.2024 16:55"
"Muuli VKM","31.05.2024 05:35","892 μS/cm","29.5 NTU","5.93 mg/L","7.41","01.07.2024 16:55"
"Muuli VKM","31.05.2024 05:30","895 μS/cm","29.16 NTU","6.03 mg/L","7.43","01.07.2024 16:55"
"Muuli VKM","31.05.2024 05:25","897 μS/cm","28.8 NTU","6.12 mg/L","7.44","01.07.2024 16:55"
"Muuli VKM","31.05.2024 05:20","899 μS/cm","28.45 NTU","6.31 mg/L","7.46","01.07.2024 16:55"
"Muuli VKM","31.05.2024 05:15","900 μS/cm","27.81 NTU","6.3 mg/L","7.46","01.07.2024 16:55"
"Muuli VKM","31.05.2024 05:10","901 μS/cm","27.76 NTU","6.29 mg/L","7.46","01.07.2024 16:55"
"Muuli VKM","31.05.2024 05:05","901 μS/cm","27.2 NTU","6.26 mg/L","7.46","01.07.2024 16:55"
